"","county","administered_date","Daily doses administered","Cumulative doses administered","pfizer_doses","cumulative_pfizer_doses","moderna_doses","cumulative_moderna_doses","jj_doses","cumulative_jj_doses","partially_vaccinated","total_partially_vaccinated","fully_vaccinated","cumulative_fully_vaccinated","at_least_one_dose","cumulative_at_least_one_dose","california_flag","booster_recip_count","cumulative_booster_recip_count","Total.Population","Total.Population.Over.16","% partially vaccinated","% with at least 1 shot","% fully vaccinated","% boostered"
"1","Alameda","2021-08-30",3363,2281474,2607,1455801,659,712681,96,112019,1148,86984,1601,1144276,1244,1231260,"California",595,7975,1678317,1351302,5.18,73.36,68.18,0.59
"2","Alameda","2021-08-29",1241,2278111,978,1453194,255,712022,8,111923,423,87341,611,1142675,431,1230016,"California",193,7380,1678317,1351302,5.2,73.29,68.08,0.55
"3","Alameda","2021-06-01",7376,1963659,5105,1209243,1950,654038,316,99579,3017,136033,4306,960701,3328,1096734,"California",0,0,1678317,1351302,8.11,65.35,57.24,0
"4","Alameda","2021-08-31",3532,2285006,2592,1458393,860,713541,80,112099,1121,86690,1496,1145772,1202,1232462,"California",884,8859,1678317,1351302,5.17,73.43,68.27,0.66
"5","Alameda","2021-06-03",8707,1978282,6553,1219490,1839,657872,312,100117,2801,132008,5857,970245,3111,1102253,"California",0,0,1678317,1351302,7.87,65.68,57.81,0
"6","Alameda","2021-05-31",1220,1956283,904,1204138,254,652088,60,99263,356,137011,847,956395,416,1093406,"California",0,0,1678317,1351302,8.16,65.15,56.99,0
"7","Alameda","2021-08-24",3764,2262672,3007,1440962,654,709187,103,111560,1413,88888,1691,1135259,1516,1224147,"California",627,5030,1678317,1351302,5.3,72.94,67.64,0.37
"8","Alameda","2021-08-25",3142,2265814,2418,1443380,640,709827,80,111640,1147,88694,1418,1136677,1224,1225371,"California",539,5569,1678317,1351302,5.28,73.01,67.73,0.41
"9","Alameda","2021-08-26",3850,2269664,3089,1446469,649,710476,111,111751,1412,88425,1789,1138466,1520,1226891,"California",619,6188,1678317,1351302,5.27,73.1,67.83,0.46
"10","Alameda","2021-08-27",4503,2274167,3600,1450069,783,711259,116,111867,1591,87827,2304,1140770,1706,1228597,"California",571,6759,1678317,1351302,5.23,73.2,67.97,0.5
"11","Alameda","2021-08-28",2703,2276870,2147,1452216,508,711767,48,111915,945,87521,1294,1142064,988,1229585,"California",428,7187,1678317,1351302,5.21,73.26,68.05,0.53
"12","Alameda","2021-10-08",6550,2414587,6046,1567812,426,731011,76,114736,815,76237,1115,1188050,891,1264287,"California",4586,66008,1678317,1351302,4.54,75.33,70.79,4.88
"13","Alameda","2021-10-09",3036,2417623,2794,1570606,192,731203,49,114785,422,76134,573,1188623,470,1264757,"California",2022,68030,1678317,1351302,4.54,75.36,70.82,5.03
"14","Alameda","2021-10-10",1408,2419031,1279,1571885,103,731306,26,114811,246,76122,284,1188907,272,1265029,"California",875,68905,1678317,1351302,4.54,75.37,70.84,5.1
"15","Alameda","2021-09-01",2888,2287894,2163,1460556,631,714172,92,112191,994,86512,1265,1147037,1087,1233549,"California",607,9466,1678317,1351302,5.15,73.5,68.34,0.7
"16","Alameda","2021-09-02",3344,2291238,2503,1463059,768,714940,73,112264,1094,86270,1407,1148444,1165,1234714,"California",814,10280,1678317,1351302,5.14,73.57,68.43,0.76
"17","Alameda","2021-06-02",5916,1969575,3694,1212937,1995,656033,226,99805,2191,134754,3687,964388,2408,1099142,"California",0,0,1678317,1351302,8.03,65.49,57.46,0
"18","Alameda","2021-07-26",2509,2178605,1890,1374767,481,694751,137,108159,1459,78046,982,1100378,1595,1178424,"California",0,0,1678317,1351302,4.65,70.21,65.56,0
"19","Alameda","2021-07-27",2912,2181517,2310,1377077,461,695212,140,108299,1611,78567,1227,1101605,1748,1180172,"California",0,0,1678317,1351302,4.68,70.32,65.64,0
"20","Alameda","2021-07-28",2364,2183881,1787,1378864,456,695668,120,108419,1319,79029,975,1102580,1437,1181609,"California",0,0,1678317,1351302,4.71,70.4,65.7,0
"21","Alameda","2021-07-29",2849,2186730,2278,1381142,425,696093,145,108564,1593,79564,1199,1103779,1734,1183343,"California",0,0,1678317,1351302,4.74,70.51,65.77,0
"22","Alameda","2021-07-30",3571,2190301,2854,1383996,541,696634,174,108738,1906,80070,1569,1105348,2075,1185418,"California",0,0,1678317,1351302,4.77,70.63,65.86,0
"23","Alameda","2021-07-31",2223,2192524,1812,1385808,329,696963,82,108820,1240,80476,913,1106261,1319,1186737,"California",0,0,1678317,1351302,4.8,70.71,65.91,0
"24","Alameda","2021-08-01",937,2193461,775,1386583,143,697106,19,108839,537,80678,354,1106615,556,1187293,"California",0,0,1678317,1351302,4.81,70.74,65.94,0
"25","Alameda","2021-08-02",2972,2196433,2413,1388996,417,697523,142,108981,1748,81401,1165,1107780,1888,1189181,"California",0,0,1678317,1351302,4.85,70.86,66.01,0
"26","Alameda","2021-08-03",3179,2199612,2539,1391535,462,697985,177,109158,1912,82290,1198,1108978,2087,1191268,"California",0,0,1678317,1351302,4.9,70.98,66.08,0
"27","Alameda","2021-08-04",2696,2202308,2154,1393689,419,698404,120,109278,1627,83078,960,1109938,1748,1193016,"California",0,0,1678317,1351302,4.95,71.08,66.13,0
"28","Alameda","2021-08-05",3246,2205554,2609,1396298,483,698887,151,109429,1893,83881,1236,1111174,2039,1195055,"California",0,0,1678317,1351302,5,71.21,66.21,0
"29","Alameda","2021-08-06",4055,2209609,3247,1399545,661,699548,145,109574,2355,84808,1574,1112748,2501,1197556,"California",0,0,1678317,1351302,5.05,71.35,66.3,0
"30","Alameda","2021-08-07",2464,2212073,2017,1401562,339,699887,106,109680,1323,85206,1027,1113775,1425,1198981,"California",0,0,1678317,1351302,5.08,71.44,66.36,0
"31","Alameda","2021-08-08",1229,2213302,1005,1402567,169,700056,53,109733,708,85482,485,1114260,761,1199742,"California",0,0,1678317,1351302,5.09,71.48,66.39,0
"32","Alameda","2021-08-09",3105,2216407,2512,1405079,458,700514,134,109867,1635,85901,1349,1115609,1768,1201510,"California",0,0,1678317,1351302,5.12,71.59,66.47,0
"33","Alameda","2021-08-10",2893,2219300,2331,1407410,450,700964,111,109978,1547,86291,1266,1116875,1656,1203166,"California",0,0,1678317,1351302,5.14,71.69,66.55,0
"34","Alameda","2021-08-11",2485,2221785,1879,1409289,488,701452,118,110096,1340,86693,1056,1117931,1458,1204624,"California",0,0,1678317,1351302,5.17,71.78,66.61,0
"35","Alameda","2021-08-12",2901,2224686,2295,1411584,480,701932,126,110222,1543,87111,1249,1119180,1667,1206291,"California",0,0,1678317,1351302,5.19,71.88,66.68,0
"36","Alameda","2021-08-13",4219,2228905,3402,1414986,665,702597,149,110371,2255,87714,1799,1120979,2402,1208693,"California",133,133,1678317,1351302,5.23,72.02,66.79,0.01
"37","Alameda","2021-08-14",2537,2231442,1957,1416943,488,703085,91,110462,1219,87908,1115,1122094,1309,1210002,"California",182,315,1678317,1351302,5.24,72.1,66.86,0.02
"38","Alameda","2021-08-15",1293,2232735,975,1417918,250,703335,67,110529,651,88114,512,1122606,718,1210720,"California",114,429,1678317,1351302,5.25,72.14,66.89,0.03
"39","Alameda","2021-08-16",3354,2236089,2572,1420490,625,703960,152,110681,1575,88427,1411,1124017,1724,1212444,"California",328,757,1678317,1351302,5.27,72.24,66.97,0.06
"40","Alameda","2021-08-17",3403,2239492,2693,1423183,580,704540,128,110809,1572,88647,1479,1125496,1699,1214143,"California",331,1088,1678317,1351302,5.28,72.34,67.06,0.08
"41","Alameda","2021-08-18",3034,2242526,2325,1425508,590,705130,119,110928,1316,88887,1192,1126688,1432,1215575,"California",497,1585,1678317,1351302,5.3,72.43,67.13,0.12
"42","Alameda","2021-08-19",3566,2246092,2645,1428153,788,705918,133,111061,1473,89077,1415,1128103,1605,1217180,"California",657,2242,1678317,1351302,5.31,72.52,67.22,0.17
"43","Alameda","2021-08-20",4674,2250766,3529,1431682,1003,706921,141,111202,1874,89150,1939,1130042,2012,1219192,"California",816,3058,1678317,1351302,5.31,72.64,67.33,0.23
"44","Alameda","2021-08-21",2941,2253707,2333,1434015,506,707427,101,111303,1102,89052,1296,1131338,1198,1220390,"California",503,3561,1678317,1351302,5.31,72.72,67.41,0.26
"45","Alameda","2021-08-22",1401,2255108,1081,1435096,278,707705,41,111344,652,89219,525,1131863,692,1221082,"California",208,3769,1678317,1351302,5.32,72.76,67.44,0.28
"46","Alameda","2021-08-23",3800,2258908,2859,1437955,828,708533,113,111457,1440,89063,1705,1133568,1549,1222631,"California",634,4403,1678317,1351302,5.31,72.85,67.54,0.33
"47","Alameda","2021-10-03",1486,2385689,1352,1541089,117,729210,16,114367,259,76880,329,1183277,274,1260157,"California",885,45833,1678317,1351302,4.58,75.08,70.5,3.39
"48","Alameda","2021-10-04",5919,2391608,5570,1546659,282,729492,65,114432,756,76782,919,1184196,821,1260978,"California",4211,50044,1678317,1351302,4.57,75.13,70.56,3.7
"49","Alameda","2021-10-05",5689,2397297,5208,1551867,390,729882,91,114523,775,76655,990,1185186,863,1261841,"California",3881,53925,1678317,1351302,4.57,75.18,70.62,3.99
"50","Alameda","2021-10-06",5001,2402298,4571,1556438,360,730242,70,114593,683,76577,829,1186015,751,1262592,"California",3460,57385,1678317,1351302,4.56,75.23,70.67,4.25
"51","Alameda","2021-10-07",5739,2408037,5328,1561766,343,730585,67,114660,738,76461,920,1186935,804,1263396,"California",4037,61422,1678317,1351302,4.56,75.28,70.72,4.55
"52","Alameda","2021-11-17",13133,2700544,5130,1724217,4530,823228,229,121196,4087,107052,665,1215858,4141,1322910,"California",8316,266553,1678317,1351302,6.38,78.82,72.45,19.73
"53","Alameda","2021-11-18",11552,2712096,4959,1729176,3868,827096,251,121447,3175,109571,724,1216582,3243,1326153,"California",7581,274134,1678317,1351302,6.53,79.02,72.49,20.29
"54","Alameda","2021-11-19",13313,2725409,5580,1734756,4286,831382,366,121813,3948,112804,800,1217382,4033,1330186,"California",8485,282619,1678317,1351302,6.72,79.26,72.54,20.91
"55","Alameda","2021-11-20",8892,2734301,3391,1738147,2585,833967,222,122035,3347,115731,492,1217874,3419,1333605,"California",5018,287637,1678317,1351302,6.9,79.46,72.57,21.29
"56","Alameda","2021-11-21",3425,2737726,1514,1739661,1197,835164,52,122087,928,116481,199,1218073,949,1334554,"California",2274,289911,1678317,1351302,6.94,79.52,72.58,21.45
"57","Alameda","2021-09-03",4409,2295647,3359,1466418,941,715881,107,112371,1399,85574,2203,1150647,1507,1236221,"California",777,11057,1678317,1351302,5.1,73.66,68.56,0.82
"58","Alameda","2021-09-04",2184,2297831,1793,1468211,364,716245,26,112397,696,85211,1085,1151732,722,1236943,"California",383,11440,1678317,1351302,5.08,73.7,68.62,0.85
"59","Alameda","2021-09-05",1086,2298917,856,1469067,205,716450,24,112421,390,85099,525,1152257,413,1237356,"California",158,11598,1678317,1351302,5.07,73.73,68.66,0.86
"60","Alameda","2021-09-06",681,2299598,523,1469590,151,716601,6,112427,221,85008,318,1152575,227,1237583,"California",135,11733,1678317,1351302,5.07,73.74,68.67,0.87
"61","Alameda","2021-09-07",3681,2303279,2803,1472393,784,717385,93,112520,1014,84067,2044,1154619,1103,1238686,"California",592,12325,1678317,1351302,5.01,73.81,68.8,0.91
"62","Alameda","2021-09-08",2855,2306134,2175,1474568,591,717976,88,112608,899,83627,1422,1156041,982,1239668,"California",503,12828,1678317,1351302,4.98,73.86,68.88,0.95
"63","Alameda","2021-09-09",3069,2309203,2328,1476896,652,718628,88,112696,1006,83275,1444,1157485,1092,1240760,"California",586,13414,1678317,1351302,4.96,73.93,68.97,0.99
"64","Alameda","2021-09-10",3825,2313028,2956,1479852,759,719387,109,112805,1192,82577,1997,1159482,1299,1242059,"California",608,14022,1678317,1351302,4.92,74.01,69.09,1.04
"65","Alameda","2021-09-11",2353,2315381,1828,1481680,475,719862,49,112854,720,82043,1304,1160786,770,1242829,"California",315,14337,1678317,1351302,4.89,74.05,69.16,1.06
"66","Alameda","2021-09-12",1054,2316435,776,1482456,251,720113,26,112880,363,81884,548,1161334,389,1243218,"California",134,14471,1678317,1351302,4.88,74.08,69.2,1.07
"67","Alameda","2021-09-13",2770,2319205,2084,1484540,619,720732,65,112945,929,81478,1398,1162732,992,1244210,"California",411,14882,1678317,1351302,4.85,74.13,69.28,1.1
"68","Alameda","2021-09-14",2711,2321916,2074,1486614,528,721260,107,113052,890,81070,1404,1164136,996,1245206,"California",392,15274,1678317,1351302,4.83,74.19,69.36,1.13
"69","Alameda","2021-09-15",2328,2324244,1731,1488345,518,721778,76,113128,756,80748,1154,1165290,832,1246038,"California",386,15660,1678317,1351302,4.81,74.24,69.43,1.16
"70","Alameda","2021-09-16",2829,2327073,2118,1490463,601,722379,108,113236,903,80305,1453,1166743,1010,1247048,"California",448,16108,1678317,1351302,4.78,74.3,69.52,1.19
"71","Alameda","2021-09-17",3277,2330350,2505,1492968,660,723039,112,113348,1021,79685,1748,1168491,1128,1248176,"California",496,16604,1678317,1351302,4.75,74.37,69.62,1.23
"72","Alameda","2021-09-18",1934,2332284,1559,1494527,348,723387,27,113375,609,79321,1000,1169491,636,1248812,"California",313,16917,1678317,1351302,4.73,74.41,69.68,1.25
"73","Alameda","2021-09-19",973,2333257,701,1495228,224,723611,48,113423,315,79192,492,1169983,363,1249175,"California",152,17069,1678317,1351302,4.72,74.43,69.71,1.26
"74","Alameda","2021-09-20",2678,2335935,1973,1497201,624,724235,76,113499,870,78848,1289,1171272,945,1250120,"California",494,17563,1678317,1351302,4.7,74.49,69.79,1.3
"75","Alameda","2021-09-21",2388,2338323,1807,1499008,456,724691,123,113622,767,78599,1138,1172410,889,1251009,"California",467,18030,1678317,1351302,4.68,74.54,69.86,1.33
"76","Alameda","2021-09-22",2145,2340468,1589,1500597,483,725174,67,113689,766,78443,988,1173398,832,1251841,"California",381,18411,1678317,1351302,4.67,74.59,69.92,1.36
"77","Alameda","2021-09-23",2483,2342951,1992,1502589,434,725608,54,113743,812,78189,1123,1174521,869,1252710,"California",534,18945,1678317,1351302,4.66,74.64,69.98,1.4
"78","Alameda","2021-09-24",3878,2346829,3261,1505850,514,726122,101,113844,950,77721,1517,1176038,1049,1253759,"California",1383,20328,1678317,1351302,4.63,74.7,70.07,1.5
"79","Alameda","2021-09-25",2693,2349522,2355,1508205,304,726426,34,113878,627,77631,752,1176790,662,1254421,"California",1300,21628,1678317,1351302,4.63,74.74,70.12,1.6
"80","Alameda","2021-09-26",1646,2351168,1508,1509713,125,726551,10,113888,266,77540,367,1177157,276,1254697,"California",1001,22629,1678317,1351302,4.62,74.76,70.14,1.67
"81","Alameda","2021-09-27",4888,2356056,4362,1514075,444,726995,81,113969,888,77770,742,1177899,972,1255669,"California",3228,25857,1678317,1351302,4.63,74.82,70.18,1.91
"82","Alameda","2021-09-28",5576,2361632,5030,1519105,472,727467,74,114043,847,77667,1025,1178924,922,1256591,"California",3679,29536,1678317,1351302,4.63,74.87,70.24,2.19
"83","Alameda","2021-09-29",5945,2367577,5418,1524523,441,727908,86,114129,774,77567,956,1179880,856,1257447,"California",4169,33705,1678317,1351302,4.62,74.92,70.3,2.49
"84","Alameda","2021-09-30",6298,2373875,5767,1530290,450,728358,78,114207,814,77371,1089,1180969,893,1258340,"California",4364,38069,1678317,1351302,4.61,74.98,70.37,2.82
"85","Alameda","2021-10-01",6959,2380834,6390,1536680,495,728853,74,114281,921,77103,1263,1182232,995,1259335,"California",4735,42804,1678317,1351302,4.59,75.04,70.44,3.17
"86","Alameda","2021-10-02",3369,2384203,3057,1539737,240,729093,70,114351,481,76935,716,1182948,548,1259883,"California",2144,44948,1678317,1351302,4.58,75.07,70.48,3.33
"87","Alameda","2021-12-22",14073,3092503,7245,1902222,4688,948071,149,128697,1988,102954,1885,1283579,2030,1386533,"California",10097,526747,1678317,1351302,6.13,82.61,76.48,38.98
"88","Alameda","2021-12-23",12847,3105350,6546,1908768,4349,952420,133,128830,1674,102968,1696,1285275,1710,1388243,"California",9400,536147,1678317,1351302,6.14,82.72,76.58,39.68
"89","Alameda","2021-12-24",3272,3108622,1755,1910523,1129,953549,45,128875,396,102948,423,1285698,403,1388646,"California",2430,538577,1678317,1351302,6.13,82.74,76.61,39.86
"90","Alameda","2021-12-25",92,3108714,36,1910559,51,953600,0,128875,24,102966,6,1285704,24,1388670,"California",62,538639,1678317,1351302,6.14,82.74,76.61,39.86
"91","Alameda","2021-12-26",2446,3111160,1411,1911970,833,954433,6,128881,331,103028,272,1285976,334,1389004,"California",1818,540457,1678317,1351302,6.14,82.76,76.62,40
"92","Alameda","2021-12-27",9932,3121092,5246,1917216,3352,957785,108,128989,1316,102972,1406,1287382,1350,1390354,"California",7138,547595,1678317,1351302,6.14,82.84,76.71,40.52
"93","Alameda","2021-12-28",13092,3134184,6469,1923685,4334,962119,154,129143,2006,103114,1909,1289291,2051,1392405,"California",9075,556670,1678317,1351302,6.14,82.96,76.82,41.2
"94","Alameda","2021-12-29",12190,3146374,6408,1930093,4012,966131,134,129277,1815,103332,1641,1290932,1859,1394264,"California",8668,565338,1678317,1351302,6.16,83.08,76.92,41.84
"95","Alameda","2021-12-30",8900,3155274,4407,1934500,3111,969242,113,129390,1211,103353,1221,1292153,1242,1395506,"California",6409,571747,1678317,1351302,6.16,83.15,76.99,42.31
"96","Alameda","2020-12-31",1832,23833,493,16816,1339,6997,0,15,1828,23619,4,110,1831,23729,"California",0,0,1678317,1351302,1.41,1.41,0.01,0
"97","Alameda","2021-11-22",11270,2748996,5320,1744981,4013,839177,288,122375,2476,118328,700,1218773,2547,1337101,"California",8017,297928,1678317,1351302,7.05,79.67,72.62,22.05
"98","Alameda","2021-11-23",13856,2762852,6166,1751147,4444,843621,307,122682,3765,121402,772,1219545,3846,1340947,"California",9248,307176,1678317,1351302,7.23,79.9,72.66,22.73
"99","Alameda","2021-11-24",11078,2773930,4933,1756080,4173,847794,255,122937,2348,122995,819,1220364,2412,1343359,"California",7838,315014,1678317,1351302,7.33,80.04,72.71,23.31
"100","Alameda","2021-11-25",170,2774100,95,1756175,61,847855,6,122943,23,123011,8,1220372,24,1343383,"California",138,315152,1678317,1351302,7.33,80.04,72.71,23.32
"101","Alameda","2021-11-26",8824,2782924,4158,1760333,3052,850907,240,123183,1725,123997,795,1221167,1781,1345164,"California",6242,321394,1678317,1351302,7.39,80.15,72.76,23.78
"102","Alameda","2021-11-27",6647,2789571,2860,1763193,2162,853069,124,123307,1191,124230,977,1222144,1210,1346374,"California",4457,325851,1678317,1351302,7.4,80.22,72.82,24.11
"103","Alameda","2021-11-28",2944,2792515,1274,1764467,894,853963,64,123371,346,123860,732,1222876,362,1346736,"California",1841,327692,1678317,1351302,7.38,80.24,72.86,24.25
"104","Alameda","2021-11-29",11056,2803571,5008,1769475,3348,857311,269,123640,1419,122976,2375,1225251,1491,1348227,"California",7198,334890,1678317,1351302,7.33,80.33,73,24.78
"105","Alameda","2021-11-30",13934,2817505,6119,1775594,4234,861545,302,123942,1738,121555,3235,1228486,1814,1350041,"California",8886,343776,1678317,1351302,7.24,80.44,73.2,25.44
"106","Alameda","2021-12-01",16125,2833630,6462,1782056,4684,866229,281,124223,2271,119391,4510,1232996,2346,1352387,"California",9255,353031,1678317,1351302,7.11,80.58,73.47,26.13
"107","Alameda","2021-12-02",16234,2849864,6570,1788626,5231,871460,417,124640,2107,117845,3755,1236751,2209,1354596,"California",10267,363298,1678317,1351302,7.02,80.71,73.69,26.89
"108","Alameda","2021-12-03",17277,2867141,7538,1796164,5058,876518,321,124961,2296,116167,4042,1240793,2364,1356960,"California",10859,374157,1678317,1351302,6.92,80.85,73.93,27.69
"109","Alameda","2021-12-04",10650,2877791,4122,1800286,2830,879348,188,125149,1231,113952,3481,1244274,1266,1358226,"California",5890,380047,1678317,1351302,6.79,80.93,74.14,28.12
"110","Alameda","2021-12-05",4467,2882258,1760,1802046,1065,880413,68,125217,479,112857,1586,1245860,491,1358717,"California",2379,382426,1678317,1351302,6.72,80.96,74.23,28.3
"111","Alameda","2021-12-06",12723,2894981,5792,1807838,4330,884743,297,125514,1520,112088,2365,1248225,1596,1360313,"California",8752,391178,1678317,1351302,6.68,81.05,74.37,28.95
"112","Alameda","2021-12-07",14839,2909820,6605,1814443,4773,889516,351,125865,1583,110476,3273,1251498,1661,1361974,"California",9899,401077,1678317,1351302,6.58,81.15,74.57,29.68
"113","Alameda","2021-12-08",15615,2925435,6763,1821206,4684,894200,290,126155,1875,108631,3791,1255289,1946,1363920,"California",9845,410922,1678317,1351302,6.47,81.27,74.79,30.41
"114","Alameda","2021-12-09",15231,2940666,7075,1828281,5018,899218,293,126448,1824,107768,2762,1258051,1899,1365819,"California",10580,421502,1678317,1351302,6.42,81.38,74.96,31.19
"115","Alameda","2021-12-10",16243,2956909,6834,1835115,4929,904147,304,126752,1941,105884,3912,1261963,2028,1367847,"California",10277,431779,1678317,1351302,6.31,81.5,75.19,31.95
"116","Alameda","2021-12-11",9821,2966730,4016,1839131,2519,906666,167,126919,1056,103734,3254,1265217,1104,1368951,"California",5451,437230,1678317,1351302,6.18,81.57,75.39,32.36
"117","Alameda","2021-12-12",3825,2970555,1712,1840843,1260,907926,46,126965,377,103249,884,1266101,399,1369350,"California",2536,439766,1678317,1351302,6.15,81.59,75.44,32.54
"118","Alameda","2021-12-13",11459,2982014,5650,1846493,3803,911729,221,127186,1309,102580,2027,1268128,1358,1370708,"California",8043,447809,1678317,1351302,6.11,81.67,75.56,33.14
"119","Alameda","2021-12-14",14682,2996696,7007,1853500,4420,916149,264,127450,1442,100904,3193,1271321,1517,1372225,"California",9961,457770,1678317,1351302,6.01,81.76,75.75,33.88
"120","Alameda","2021-12-15",14641,3011337,7077,1860577,4889,921038,236,127686,1899,100551,2320,1273641,1967,1374192,"California",10331,468101,1678317,1351302,5.99,81.88,75.89,34.64
"121","Alameda","2021-12-16",14016,3025353,7290,1867867,4869,925907,229,127915,2261,101810,1072,1274713,2331,1376523,"California",10594,478695,1678317,1351302,6.07,82.02,75.95,35.42
"122","Alameda","2021-12-17",15060,3040413,7555,1875422,4977,930884,174,128089,2199,101993,2076,1276789,2259,1378782,"California",10690,489385,1678317,1351302,6.08,82.15,76.08,36.22
"123","Alameda","2021-12-18",8140,3048553,3858,1879280,2306,933190,80,128169,1437,102002,1453,1278242,1462,1380244,"California",5207,494592,1678317,1351302,6.08,82.24,76.16,36.6
"124","Alameda","2021-12-19",3315,3051868,1903,1881183,1065,934255,47,128216,488,102167,342,1278584,507,1380751,"California",2446,497038,1678317,1351302,6.09,82.27,76.18,36.78
"125","Alameda","2021-12-20",12467,3064335,6556,1887739,4286,938541,160,128376,1662,102387,1495,1280079,1715,1382466,"California",9217,506255,1678317,1351302,6.1,82.37,76.27,37.46
"126","Alameda","2021-12-21",14095,3078430,7238,1894977,4842,943383,172,128548,1994,102809,1615,1281694,2037,1384503,"California",10395,516650,1678317,1351302,6.13,82.49,76.37,38.23
"127","Alameda","2021-01-31",1935,153269,972,78928,962,74280,0,20,1694,94400,236,29292,1694,123692,"California",0,0,1678317,1351302,5.62,7.37,1.75,0
"128","Alameda","2021-02-01",6566,159835,3913,82841,2642,76922,3,23,4365,96587,2181,31473,4368,128060,"California",0,0,1678317,1351302,5.75,7.63,1.88,0
"129","Alameda","2021-02-02",7188,167023,3881,86722,3306,80228,1,24,4751,98916,2423,33896,4752,132812,"California",0,0,1678317,1351302,5.89,7.91,2.02,0
"130","Alameda","2021-02-03",7161,174184,3786,90508,3373,83601,0,24,4385,100543,2760,36656,4387,137199,"California",0,0,1678317,1351302,5.99,8.17,2.18,0
"131","Alameda","2021-02-04",9488,183672,4136,94644,5348,88949,3,27,6309,103693,3167,39823,6317,143516,"California",0,0,1678317,1351302,6.18,8.55,2.37,0
"132","Alameda","2021-02-05",10385,194057,5401,100045,4980,93929,2,29,6412,106159,3956,43779,6422,149938,"California",0,0,1678317,1351302,6.33,8.93,2.61,0
"133","Alameda","2021-02-06",7023,201080,4460,104505,2562,96491,0,29,5841,110823,1178,44957,5842,155780,"California",0,0,1678317,1351302,6.6,9.28,2.68,0
"134","Alameda","2021-02-07",3654,204734,2950,107455,703,97194,0,29,2679,112533,969,45926,2679,158459,"California",0,0,1678317,1351302,6.71,9.44,2.74,0
"135","Alameda","2021-02-08",8311,213045,5833,113288,2478,99672,0,29,5642,115527,2651,48577,5645,164104,"California",0,0,1678317,1351302,6.88,9.78,2.89,0
"136","Alameda","2021-10-11",5096,2424127,4728,1576613,326,731632,39,114850,684,75980,865,1189772,723,1265752,"California",3518,72423,1678317,1351302,4.53,75.42,70.89,5.36
"137","Alameda","2021-01-01",190,24023,80,16896,108,7105,0,15,189,23806,2,112,189,23918,"California",0,0,1678317,1351302,1.42,1.43,0.01,0
"138","Alameda","2021-01-02",733,24756,530,17426,203,7308,0,15,730,24535,1,113,730,24648,"California",0,0,1678317,1351302,1.46,1.47,0.01,0
"139","Alameda","2021-01-03",339,25095,221,17647,117,7425,1,16,328,24855,9,122,329,24977,"California",0,0,1678317,1351302,1.48,1.49,0.01,0
"140","Alameda","2021-01-04",1704,26799,998,18645,706,8131,0,16,1618,26388,85,207,1618,26595,"California",0,0,1678317,1351302,1.57,1.58,0.01,0
"141","Alameda","2021-01-05",2242,29041,1304,19949,938,9069,0,16,1970,28090,268,475,1970,28565,"California",0,0,1678317,1351302,1.67,1.7,0.03,0
"142","Alameda","2021-01-06",3392,32433,1926,21875,1466,10535,0,16,2419,29543,969,1444,2422,30987,"California",0,0,1678317,1351302,1.76,1.85,0.09,0
"143","Alameda","2021-01-07",3883,36316,2210,24085,1672,12207,0,16,2632,30944,1234,2678,2635,33622,"California",0,0,1678317,1351302,1.84,2,0.16,0
"144","Alameda","2021-01-08",4877,41193,2796,26881,2081,14288,0,16,3074,32228,1793,4471,3077,36699,"California",0,0,1678317,1351302,1.92,2.19,0.27,0
"145","Alameda","2021-01-09",2046,43239,1387,28268,658,14946,0,16,1156,32498,886,5357,1156,37855,"California",0,0,1678317,1351302,1.94,2.26,0.32,0
"146","Alameda","2021-01-10",1089,44328,849,29117,240,15186,0,16,432,32274,656,6013,432,38287,"California",0,0,1678317,1351302,1.92,2.28,0.36,0
"147","Alameda","2021-01-11",4821,49149,3641,32758,1180,16366,0,16,2922,33316,1883,7896,2925,41212,"California",0,0,1678317,1351302,1.99,2.46,0.47,0
"148","Alameda","2021-01-12",4941,54090,3298,36056,1642,18008,1,17,3522,35425,1415,9311,3524,44736,"California",0,0,1678317,1351302,2.11,2.67,0.55,0
"149","Alameda","2021-01-13",5180,59270,2771,38827,2407,20415,0,17,3910,38079,1259,10570,3913,48649,"California",0,0,1678317,1351302,2.27,2.9,0.63,0
"150","Alameda","2021-01-14",5781,65051,2831,41658,2950,23365,0,17,4861,42034,908,11478,4863,53512,"California",0,0,1678317,1351302,2.5,3.19,0.68,0
"151","Alameda","2021-01-15",5883,70934,2318,43976,3561,26926,2,19,5084,46339,784,12262,5089,58601,"California",0,0,1678317,1351302,2.76,3.49,0.73,0
"152","Alameda","2021-01-16",3034,73968,1391,45367,1640,28566,1,20,2764,48838,267,12529,2766,61367,"California",0,0,1678317,1351302,2.91,3.66,0.75,0
"153","Alameda","2021-01-17",1910,75878,1110,46477,800,29366,0,20,1682,50291,229,12758,1682,63049,"California",0,0,1678317,1351302,3,3.76,0.76,0
"154","Alameda","2021-01-18",3210,79088,2034,48511,1176,30542,0,20,2595,52283,604,13362,2596,65645,"California",0,0,1678317,1351302,3.12,3.91,0.8,0
"155","Alameda","2021-01-19",5678,84766,3375,51886,2303,32845,0,20,4377,55374,1287,14649,4378,70023,"California",0,0,1678317,1351302,3.3,4.17,0.87,0
