"","county","administered_date","Daily doses","Rolling average"
"1","All CA Counties",2020-07-27,3,NA
"2","All CA Counties",2020-07-28,4,NA
"3","All CA Counties",2020-07-29,7,NA
"4","All CA Counties",2020-07-30,11,6.28571428571429
"5","All CA Counties",2020-07-31,6,7.57142857142857
"6","All CA Counties",2020-08-01,10,9.14285714285714
"7","All CA Counties",2020-08-02,3,10.5714285714286
"8","All CA Counties",2020-08-03,12,11.2857142857143
"9","All CA Counties",2020-08-04,15,12
"10","All CA Counties",2020-08-05,17,11.2857142857143
"11","All CA Counties",2020-08-06,16,11.2857142857143
"12","All CA Counties",2020-08-07,11,13.2857142857143
"13","All CA Counties",2020-08-08,5,14.8571428571429
"14","All CA Counties",2020-08-09,3,16.4285714285714
"15","All CA Counties",2020-08-10,26,18.7142857142857
"16","All CA Counties",2020-08-11,26,20.7142857142857
"17","All CA Counties",2020-08-12,28,20.2857142857143
"18","All CA Counties",2020-08-13,32,20.4285714285714
"19","All CA Counties",2020-08-14,25,21.4285714285714
"20","All CA Counties",2020-08-15,2,21
"21","All CA Counties",2020-08-16,4,21.1428571428571
"22","All CA Counties",2020-08-17,33,22.1428571428571
"23","All CA Counties",2020-08-18,23,25
"24","All CA Counties",2020-08-19,29,26.5714285714286
"25","All CA Counties",2020-08-20,39,26.5714285714286
"26","All CA Counties",2020-08-21,45,27.7142857142857
"27","All CA Counties",2020-08-22,13,30.4285714285714
"28","All CA Counties",2020-08-23,4,34.7142857142857
"29","All CA Counties",2020-08-24,41,37.7142857142857
"30","All CA Counties",2020-08-25,42,40
"31","All CA Counties",2020-08-26,59,39.5714285714286
"32","All CA Counties",2020-08-27,60,39.5714285714286
"33","All CA Counties",2020-08-28,61,44.8571428571429
"34","All CA Counties",2020-08-29,10,53.2857142857143
"35","All CA Counties",2020-08-30,4,53.7142857142857
"36","All CA Counties",2020-08-31,78,54.2857142857143
"37","All CA Counties",2020-09-01,101,55.8571428571429
"38","All CA Counties",2020-09-02,62,56.5714285714286
"39","All CA Counties",2020-09-03,64,56.2857142857143
"40","All CA Counties",2020-09-04,72,57.7142857142857
"41","All CA Counties",2020-09-05,15,55.8571428571429
"42","All CA Counties",2020-09-07,2,56.4285714285714
"43","All CA Counties",2020-09-08,88,57.2857142857143
"44","All CA Counties",2020-09-09,88,50.2857142857143
"45","All CA Counties",2020-09-10,66,48.8571428571429
"46","All CA Counties",2020-09-11,70,58.7142857142857
"47","All CA Counties",2020-09-12,23,56.2857142857143
"48","All CA Counties",2020-09-13,5,52
"49","All CA Counties",2020-09-14,71,51
"50","All CA Counties",2020-09-15,71,50.7142857142857
"51","All CA Counties",2020-09-16,58,49.2857142857143
"52","All CA Counties",2020-09-17,59,50.1428571428571
"53","All CA Counties",2020-09-18,68,50.7142857142857
"54","All CA Counties",2020-09-19,13,51.1428571428571
"55","All CA Counties",2020-09-20,11,55.8571428571429
"56","All CA Counties",2020-09-21,75,54.8571428571429
"57","All CA Counties",2020-09-22,74,54.2857142857143
"58","All CA Counties",2020-09-23,91,53.5714285714286
"59","All CA Counties",2020-09-24,52,52.1428571428571
"60","All CA Counties",2020-09-25,64,48.7142857142857
"61","All CA Counties",2020-09-26,8,44.5714285714286
"62","All CA Counties",2020-09-27,1,38.4285714285714
"63","All CA Counties",2020-09-28,51,37.7142857142857
"64","All CA Counties",2020-09-29,45,32.1428571428571
"65","All CA Counties",2020-09-30,48,32.5714285714286
"66","All CA Counties",2020-10-01,47,32.7142857142857
"67","All CA Counties",2020-10-02,25,28.5714285714286
"68","All CA Counties",2020-10-03,11,25.8571428571429
"69","All CA Counties",2020-10-04,2,23.5714285714286
"70","All CA Counties",2020-10-05,22,21.4285714285714
"71","All CA Counties",2020-10-06,26,23.2857142857143
"72","All CA Counties",2020-10-07,32,24.7142857142857
"73","All CA Counties",2020-10-08,32,24.7142857142857
"74","All CA Counties",2020-10-09,38,25.5714285714286
"75","All CA Counties",2020-10-10,21,25.7142857142857
"76","All CA Counties",2020-10-11,2,24.7142857142857
"77","All CA Counties",2020-10-12,28,23.7142857142857
"78","All CA Counties",2020-10-13,27,21.7142857142857
"79","All CA Counties",2020-10-14,25,19.8571428571429
"80","All CA Counties",2020-10-15,25,20
"81","All CA Counties",2020-10-16,24,20.1428571428571
"82","All CA Counties",2020-10-17,8,18.7142857142857
"83","All CA Counties",2020-10-18,3,18.2857142857143
"84","All CA Counties",2020-10-19,29,16.8571428571429
"85","All CA Counties",2020-10-20,17,16.8571428571429
"86","All CA Counties",2020-10-21,22,16.7142857142857
"87","All CA Counties",2020-10-22,15,16.5714285714286
"88","All CA Counties",2020-10-23,24,14.2857142857143
"89","All CA Counties",2020-10-24,7,13.7142857142857
"90","All CA Counties",2020-10-25,2,12
"91","All CA Counties",2020-10-26,13,11.4285714285714
"92","All CA Counties",2020-10-27,13,9.85714285714286
"93","All CA Counties",2020-10-28,10,10
"94","All CA Counties",2020-10-29,11,14.5714285714286
"95","All CA Counties",2020-10-30,13,15.4285714285714
"96","All CA Counties",2020-10-31,8,15
"97","All CA Counties",2020-11-01,34,16.8571428571429
"98","All CA Counties",2020-11-02,19,17.1428571428571
"99","All CA Counties",2020-11-03,10,16.1428571428571
"100","All CA Counties",2020-11-04,23,15.4285714285714
"101","All CA Counties",2020-11-05,13,10.8571428571429
"102","All CA Counties",2020-11-06,6,9
"103","All CA Counties",2020-11-07,3,10
"104","All CA Counties",2020-11-08,2,10.8571428571429
"105","All CA Counties",2020-11-09,6,11.7142857142857
"106","All CA Counties",2020-11-10,17,15.4285714285714
"107","All CA Counties",2020-11-11,29,16.8571428571429
"108","All CA Counties",2020-11-12,19,18.7142857142857
"109","All CA Counties",2020-11-13,32,21.5714285714286
"110","All CA Counties",2020-11-14,13,21.8571428571429
"111","All CA Counties",2020-11-15,15,21.7142857142857
"112","All CA Counties",2020-11-16,26,22.1428571428571
"113","All CA Counties",2020-11-17,19,23.5714285714286
"114","All CA Counties",2020-11-18,28,22.8571428571429
"115","All CA Counties",2020-11-19,22,24
"116","All CA Counties",2020-11-20,42,24.1428571428571
"117","All CA Counties",2020-11-21,8,25.5714285714286
"118","All CA Counties",2020-11-22,23,24
"119","All CA Counties",2020-11-23,27,21.5714285714286
"120","All CA Counties",2020-11-24,29,17.8571428571429
"121","All CA Counties",2020-11-25,17,18.2857142857143
"122","All CA Counties",2020-11-26,5,15.4285714285714
"123","All CA Counties",2020-11-27,16,15
"124","All CA Counties",2020-11-28,11,66.5714285714286
"125","All CA Counties",2020-11-29,3,78.4285714285714
"126","All CA Counties",2020-11-30,24,93.2857142857143
"127","All CA Counties",2020-12-01,390,99.8571428571429
"128","All CA Counties",2020-12-02,100,104
"129","All CA Counties",2020-12-03,109,108
"130","All CA Counties",2020-12-04,62,116
"131","All CA Counties",2020-12-05,40,74
"132","All CA Counties",2020-12-06,31,66.1428571428571
"133","All CA Counties",2020-12-07,80,60.5714285714286
"134","All CA Counties",2020-12-08,96,62.5714285714286
"135","All CA Counties",2020-12-09,45,67.5714285714286
"136","All CA Counties",2020-12-10,70,69.8571428571429
"137","All CA Counties",2020-12-11,76,73.1428571428571
"138","All CA Counties",2020-12-12,75,258.714285714286
"139","All CA Counties",2020-12-13,47,1599.57142857143
"140","All CA Counties",2020-12-14,103,5672.28571428571
"141","All CA Counties",2020-12-15,1395,12504.5714285714
"142","All CA Counties",2020-12-16,9431,16271
"143","All CA Counties",2020-12-17,28579,19089.1428571429
"144","All CA Counties",2020-12-18,47902,26498.5714285714
"145","All CA Counties",2020-12-19,26440,33778.1428571429
"146","All CA Counties",2020-12-20,19774,39991
"147","All CA Counties",2020-12-21,51969,39476.5714285714
"148","All CA Counties",2020-12-22,52352,32986.2857142857
"149","All CA Counties",2020-12-23,52921,31389
"150","All CA Counties",2020-12-24,24978,29966
"151","All CA Counties",2020-12-25,2470,29417.7142857143
"152","All CA Counties",2020-12-26,15259,29706.4285714286
"153","All CA Counties",2020-12-27,9813,31590.1428571429
"154","All CA Counties",2020-12-28,48131,32414.1428571429
"155","All CA Counties",2020-12-29,54373,32948.5714285714
"156","All CA Counties",2020-12-30,66107,33501.7142857143
"157","All CA Counties",2020-12-31,30746,33036
"158","All CA Counties",2021-01-01,6211,33023.8571428571
"159","All CA Counties",2021-01-02,19131,33671.7142857143
"160","All CA Counties",2021-01-03,6553,35166.2857142857
"161","All CA Counties",2021-01-04,48046,44585.7142857143
"162","All CA Counties",2021-01-05,58908,59684.8571428571
"163","All CA Counties",2021-01-06,76569,63516.2857142857
"164","All CA Counties",2021-01-07,96682,66150.5714285714
"165","All CA Counties",2021-01-08,111905,74784
"166","All CA Counties",2021-01-09,45951,83285.2857142857
"167","All CA Counties",2021-01-10,24993,89950.8571428571
"168","All CA Counties",2021-01-11,108480,94484.2857142857
"169","All CA Counties",2021-01-12,118417,99390
"170","All CA Counties",2021-01-13,123228,104722.857142857
"171","All CA Counties",2021-01-14,128416,108159
"172","All CA Counties",2021-01-15,146245,105539
"173","All CA Counties",2021-01-16,83281,109620
"174","All CA Counties",2021-01-17,49046,115944.857142857
"175","All CA Counties",2021-01-18,90140,123451.285714286
"176","All CA Counties",2021-01-19,146984,127501.857142857
"177","All CA Counties",2021-01-20,167502,131974.285714286
"178","All CA Counties",2021-01-21,180961,133898
"179","All CA Counties",2021-01-22,174599,142477
"180","All CA Counties",2021-01-23,114588,146509.428571429
"181","All CA Counties",2021-01-24,62512,149565.285714286
"182","All CA Counties",2021-01-25,150193,151623.571428571
"183","All CA Counties",2021-01-26,175211,153876.285714286
"184","All CA Counties",2021-01-27,188893,155839.571428571
"185","All CA Counties",2021-01-28,195369,157250.571428571
"186","All CA Counties",2021-01-29,190368,159828.571428571
"187","All CA Counties",2021-01-30,128331,162240.714285714
"188","All CA Counties",2021-01-31,72389,166246.857142857
"189","All CA Counties",2021-02-01,168239,171804
"190","All CA Counties",2021-02-02,192096,180929.285714286
"191","All CA Counties",2021-02-03,216936,185497.714285714
"192","All CA Counties",2021-02-04,234269,185066.428571429
"193","All CA Counties",2021-02-05,254245,187790.571428571
"194","All CA Counties",2021-02-06,160310,191377.142857143
"195","All CA Counties",2021-02-07,69370,196927.571428571
"196","All CA Counties",2021-02-08,187308,202432.428571429
"197","All CA Counties",2021-02-09,217202,206072.571428571
"198","All CA Counties",2021-02-10,255789,207617.714285714
"199","All CA Counties",2021-02-11,272803,211682.285714286
"200","All CA Counties",2021-02-12,279726,205847
"201","All CA Counties",2021-02-13,171126,211461.142857143
"202","All CA Counties",2021-02-14,97822,213141.571428571
"203","All CA Counties",2021-02-15,146461,214495.571428571
"204","All CA Counties",2021-02-16,256501,212070.428571429
"205","All CA Counties",2021-02-17,267552,210697
"206","All CA Counties",2021-02-18,282281,209624
"207","All CA Counties",2021-02-19,262750,213952.428571429
"208","All CA Counties",2021-02-20,161512,211955.714285714
"209","All CA Counties",2021-02-21,90311,216820.714285714
"210","All CA Counties",2021-02-22,176760,225392.142857143
"211","All CA Counties",2021-02-23,242524,241739.428571429
"212","All CA Counties",2021-02-24,301607,257127
"213","All CA Counties",2021-02-25,342281,264919.571428571
"214","All CA Counties",2021-02-26,377181,277144.571428571
"215","All CA Counties",2021-02-27,269225,287339.428571429
"216","All CA Counties",2021-02-28,144859,294810.142857143
"217","All CA Counties",2021-03-01,262335,299439.714285714
"218","All CA Counties",2021-03-02,313888,297287.428571429
"219","All CA Counties",2021-03-03,353902,297415.857142857
"220","All CA Counties",2021-03-04,374688,296693.571428571
"221","All CA Counties",2021-03-05,362115,292495
"222","All CA Counties",2021-03-06,270124,291177.285714286
"223","All CA Counties",2021-03-07,139803,288696.428571429
"224","All CA Counties",2021-03-08,232945,290822.142857143
"225","All CA Counties",2021-03-09,304664,297417.571428571
"226","All CA Counties",2021-03-10,336536,300774
"227","All CA Counties",2021-03-11,389568,303701.142857143
"228","All CA Counties",2021-03-12,408283,313098
"229","All CA Counties",2021-03-13,293619,323902.571428571
"230","All CA Counties",2021-03-14,160293,332558.142857143
"231","All CA Counties",2021-03-15,298723,335979.285714286
"232","All CA Counties",2021-03-16,380296,338033.571428571
"233","All CA Counties",2021-03-17,397125,339474.285714286
"234","All CA Counties",2021-03-18,413516,337798.428571429
"235","All CA Counties",2021-03-19,422663,335246.857142857
"236","All CA Counties",2021-03-20,303704,333343.571428571
"237","All CA Counties",2021-03-21,148562,333383.142857143
"238","All CA Counties",2021-03-22,280862,335613
"239","All CA Counties",2021-03-23,366973,339161.428571429
"240","All CA Counties",2021-03-24,397402,341576.142857143
"241","All CA Counties",2021-03-25,429125,345129
"242","All CA Counties",2021-03-26,447502,350783
"243","All CA Counties",2021-03-27,320607,356931.857142857
"244","All CA Counties",2021-03-28,173432,362581.285714286
"245","All CA Counties",2021-03-29,320440,373589.571428571
"246","All CA Counties",2021-03-30,410015,379070.714285714
"247","All CA Counties",2021-03-31,436948,381210.571428571
"248","All CA Counties",2021-04-01,506183,375632.428571429
"249","All CA Counties",2021-04-02,485870,382024
"250","All CA Counties",2021-04-03,335586,390273.285714286
"251","All CA Counties",2021-04-04,134385,396925.428571429
"252","All CA Counties",2021-04-05,365181,397505.714285714
"253","All CA Counties",2021-04-06,467760,400463.285714286
"254","All CA Counties",2021-04-07,483513,406380.857142857
"255","All CA Counties",2021-04-08,510245,414570.714285714
"256","All CA Counties",2021-04-09,506573,412122.142857143
"257","All CA Counties",2021-04-10,377009,408369.428571429
"258","All CA Counties",2021-04-11,191714,405248.571428571
"259","All CA Counties",2021-04-12,348041,403966.714285714
"260","All CA Counties",2021-04-13,441491,401325
"261","All CA Counties",2021-04-14,461667,397619.714285714
"262","All CA Counties",2021-04-15,501272,393881.285714286
"263","All CA Counties",2021-04-16,488081,390740.285714286
"264","All CA Counties",2021-04-17,351072,388019.857142857
"265","All CA Counties",2021-04-18,165545,386060.571428571
"266","All CA Counties",2021-04-19,326054,380950.428571429
"267","All CA Counties",2021-04-20,422448,376778.142857143
"268","All CA Counties",2021-04-21,447952,374394.428571429
"269","All CA Counties",2021-04-22,465501,372718.285714286
"270","All CA Counties",2021-04-23,458875,370654.714285714
"271","All CA Counties",2021-04-24,334386,364723
"272","All CA Counties",2021-04-25,153812,353304.285714286
"273","All CA Counties",2021-04-26,311609,340910.714285714
"274","All CA Counties",2021-04-27,380926,331508.285714286
"275","All CA Counties",2021-04-28,368021,320764.142857143
"276","All CA Counties",2021-04-29,378746,315916.857142857
"277","All CA Counties",2021-04-30,393058,307762.857142857
"278","All CA Counties",2021-05-01,259177,301001.285714286
"279","All CA Counties",2021-05-02,119881,297788
"280","All CA Counties",2021-05-03,254531,295600.571428571
"281","All CA Counties",2021-05-04,333595,290957.857142857
"282","All CA Counties",2021-05-05,345528,288053
"283","All CA Counties",2021-05-06,363434,284911.571428571
"284","All CA Counties",2021-05-07,360559,278864.142857143
"285","All CA Counties",2021-05-08,238843,271452.285714286
"286","All CA Counties",2021-05-09,97891,261847.857142857
"287","All CA Counties",2021-05-10,212199,256358.714285714
"288","All CA Counties",2021-05-11,281712,254912
"289","All CA Counties",2021-05-12,278297,261809.285714286
"290","All CA Counties",2021-05-13,325010,268451.571428571
"291","All CA Counties",2021-05-14,350432,273284
"292","All CA Counties",2021-05-15,287124,274408.142857143
"293","All CA Counties",2021-05-16,144387,275155.571428571
"294","All CA Counties",2021-05-17,246026,267575.857142857
"295","All CA Counties",2021-05-18,289581,259085.857142857
"296","All CA Counties",2021-05-19,283529,247983.571428571
"297","All CA Counties",2021-05-20,271952,240519.142857143
"298","All CA Counties",2021-05-21,291002,230444.571428571
"299","All CA Counties",2021-05-22,209408,216859.857142857
"300","All CA Counties",2021-05-23,92136,203410.428571429
"301","All CA Counties",2021-05-24,175504,189806.714285714
"302","All CA Counties",2021-05-25,194488,175917.857142857
"303","All CA Counties",2021-05-26,189383,161594.285714286
"304","All CA Counties",2021-05-27,176726,155301.571428571
"305","All CA Counties",2021-05-28,193780,133166
"306","All CA Counties",2021-05-29,109143,130117.285714286
"307","All CA Counties",2021-05-30,48087,123933
"308","All CA Counties",2021-05-31,20555,123717.285714286
"309","All CA Counties",2021-06-01,173147,125220.714285714
"310","All CA Counties",2021-06-02,146093,132643.714285714
"311","All CA Counties",2021-06-03,175216,135088.571428571
"312","All CA Counties",2021-06-04,204304,152087.571428571
"313","All CA Counties",2021-06-05,161104,150484.571428571
"314","All CA Counties",2021-06-06,65201,151995.428571429
"315","All CA Counties",2021-06-07,139548,148476.857142857
"316","All CA Counties",2021-06-08,161926,142686.571428571
"317","All CA Counties",2021-06-09,156669,136547.285714286
"318","All CA Counties",2021-06-10,150586,133738.285714286
"319","All CA Counties",2021-06-11,163772,130676.571428571
"320","All CA Counties",2021-06-12,118129,126896.714285714
"321","All CA Counties",2021-06-13,45538,122290.428571429
"322","All CA Counties",2021-06-14,118116,117601.857142857
"323","All CA Counties",2021-06-15,135467,113200.714285714
"324","All CA Counties",2021-06-16,124425,107600.857142857
"325","All CA Counties",2021-06-17,117766,105611
"326","All CA Counties",2021-06-18,132964,99260.4285714286
"327","All CA Counties",2021-06-19,78930,94701.7142857143
"328","All CA Counties",2021-06-20,31609,90757.1428571429
"329","All CA Counties",2021-06-21,73662,87361.5714285714
"330","All CA Counties",2021-06-22,103556,83931.1428571429
"331","All CA Counties",2021-06-23,96813,82678.1428571429
"332","All CA Counties",2021-06-24,93997,82772.2857142857
"333","All CA Counties",2021-06-25,108951,82833.1428571429
"334","All CA Counties",2021-06-26,70159,80443.1428571429
"335","All CA Counties",2021-06-27,32268,78378.8571428571
"336","All CA Counties",2021-06-28,74088,76010.7142857143
"337","All CA Counties",2021-06-29,86826,72955.7142857143
"338","All CA Counties",2021-06-30,82363,69776.5714285714
"339","All CA Counties",2021-07-01,77420,65683.1428571429
"340","All CA Counties",2021-07-02,87566,61091.1428571429
"341","All CA Counties",2021-07-03,47905,61462.1428571429
"342","All CA Counties",2021-07-04,3614,60594.8571428571
"343","All CA Counties",2021-07-05,41944,59962.2857142857
"344","All CA Counties",2021-07-06,89423,59646
"345","All CA Counties",2021-07-07,76292,60439.5714285714
"346","All CA Counties",2021-07-08,72992,63350.4285714286
"347","All CA Counties",2021-07-09,85352,67049.8571428571
"348","All CA Counties",2021-07-10,53460,64577.1428571429
"349","All CA Counties",2021-07-11,23990,63563.4285714286
"350","All CA Counties",2021-07-12,67840,63131.8571428571
"351","All CA Counties",2021-07-13,72114,63117.1428571429
"352","All CA Counties",2021-07-14,69196,63363.7142857143
"353","All CA Counties",2021-07-15,69971,63681.8571428571
"354","All CA Counties",2021-07-16,85249,63853.2857142857
"355","All CA Counties",2021-07-17,55186,64767.8571428571
"356","All CA Counties",2021-07-18,26217,65838.5714285714
"357","All CA Counties",2021-07-19,69040,66825.1428571429
"358","All CA Counties",2021-07-20,78516,67678.7142857143
"359","All CA Counties",2021-07-21,76691,67746.2857142857
"360","All CA Counties",2021-07-22,76877,67608.4285714286
"361","All CA Counties",2021-07-23,91224,67877.2857142857
"362","All CA Counties",2021-07-24,55659,68700.1428571429
"363","All CA Counties",2021-07-25,25252,69693.8571428571
"364","All CA Counties",2021-07-26,70922,70275
"365","All CA Counties",2021-07-27,84276,70995.5714285714
"366","All CA Counties",2021-07-28,83647,71543.2857142857
"367","All CA Counties",2021-07-29,80945,72208.2857142857
"368","All CA Counties",2021-07-30,96268,73431.4285714286
"369","All CA Counties",2021-07-31,59493,74121.4285714286
"370","All CA Counties",2021-08-01,29907,74194.8571428571
"371","All CA Counties",2021-08-02,79484,74862.1428571429
"372","All CA Counties",2021-08-03,89106,76015.1428571429
"373","All CA Counties",2021-08-04,84161,76603.4285714286
"374","All CA Counties",2021-08-05,85616,77286.2857142857
"375","All CA Counties",2021-08-06,104339,78378.2857142857
"376","All CA Counties",2021-08-07,63611,78569.1428571429
"377","All CA Counties",2021-08-08,34687,78390.5714285714
"378","All CA Counties",2021-08-09,87128,78728.1428571429
"379","All CA Counties",2021-08-10,90442,79633.5714285714
"380","All CA Counties",2021-08-11,82911,80842.4285714286
"381","All CA Counties",2021-08-12,87979,81584
"382","All CA Counties",2021-08-13,110677,82866.5714285714
"383","All CA Counties",2021-08-14,72073,84395.1428571429
"384","All CA Counties",2021-08-15,39878,86927.8571428571
"385","All CA Counties",2021-08-16,96106,88696.4285714286
"386","All CA Counties",2021-08-17,101142,90828.8571428571
"387","All CA Counties",2021-08-18,100640,91259.4285714286
"388","All CA Counties",2021-08-19,100359,91484.8571428571
"389","All CA Counties",2021-08-20,125604,92717.4285714286
"390","All CA Counties",2021-08-21,75087,93342.7142857143
"391","All CA Counties",2021-08-22,41456,93409.2857142857
"392","All CA Counties",2021-08-23,104734,93741.4285714286
"393","All CA Counties",2021-08-24,105519,93936.7142857143
"394","All CA Counties",2021-08-25,101106,94193.1428571429
"395","All CA Counties",2021-08-26,102684,94269.1428571429
"396","All CA Counties",2021-08-27,126971,93623.8571428571
"397","All CA Counties",2021-08-28,76882,92751
"398","All CA Counties",2021-08-29,41988,92005.4285714286
"399","All CA Counties",2021-08-30,100217,90587.7142857143
"400","All CA Counties",2021-08-31,99409,89147.5714285714
"401","All CA Counties",2021-09-01,95887,87221.1428571429
"402","All CA Counties",2021-09-02,92760,86587
"403","All CA Counties",2021-09-03,116890,74987.8571428571
"404","All CA Counties",2021-09-04,63397,74718.8571428571
"405","All CA Counties",2021-09-05,37549,73600.2857142857
"406","All CA Counties",2021-09-06,19023,72841.1428571429
"407","All CA Counties",2021-09-07,97526,71403.8571428571
"408","All CA Counties",2021-09-08,88057,71245.8571428571
"409","All CA Counties",2021-09-09,87446,70844.1428571429
"410","All CA Counties",2021-09-10,106829,80006.1428571429
"411","All CA Counties",2021-09-11,62291,77420.8571428571
"412","All CA Counties",2021-09-12,34737,76031.5714285714
"413","All CA Counties",2021-09-13,83157,75121.8571428571
"414","All CA Counties",2021-09-14,79429,73420
"415","All CA Counties",2021-09-15,78332,72534.1428571429
"416","All CA Counties",2021-09-16,81078,72167.8571428571
"417","All CA Counties",2021-09-17,94916,71554
"418","All CA Counties",2021-09-18,56090,70650.1428571429
"419","All CA Counties",2021-09-19,32173,69559.1428571429
"420","All CA Counties",2021-09-20,78860,68082.1428571429
"421","All CA Counties",2021-09-21,73102,69769.2857142857
"422","All CA Counties",2021-09-22,70695,71727.7142857143
"423","All CA Counties",2021-09-23,70739,72656.8571428571
"424","All CA Counties",2021-09-24,106726,78084.8571428571
"425","All CA Counties",2021-09-25,69799,85865.4285714286
"426","All CA Counties",2021-09-26,38677,93904.2857142857
"427","All CA Counties",2021-09-27,116856,102375.714285714
"428","All CA Counties",2021-09-28,127566,107559.285714286
"429","All CA Counties",2021-09-29,126967,107130.285714286
"430","All CA Counties",2021-09-30,130039,106964.285714286
"431","All CA Counties",2021-10-01,143011,105847.714285714
"432","All CA Counties",2021-10-02,66796,103273.714285714
"433","All CA Counties",2021-10-03,37515,100411.857142857
"434","All CA Counties",2021-10-04,109040,98251.5714285714
"435","All CA Counties",2021-10-05,109548,97864.5714285714
"436","All CA Counties",2021-10-06,106934,97486.4285714286
"437","All CA Counties",2021-10-07,114917,97106.7142857143
"438","All CA Counties",2021-10-08,140302,96542.2857142857
"439","All CA Counties",2021-10-09,64149,95675
"440","All CA Counties",2021-10-10,34857,94275.1428571429
"441","All CA Counties",2021-10-11,105089,91927.8571428571
"442","All CA Counties",2021-10-12,103477,89578.8571428571
"443","All CA Counties",2021-10-13,97135,88679.2857142857
"444","All CA Counties",2021-10-14,98486,87948.8571428571
"445","All CA Counties",2021-10-15,123859,86840
"446","All CA Counties",2021-10-16,57852,85447.8571428571
"447","All CA Counties",2021-10-17,29744,84483.4285714286
"448","All CA Counties",2021-10-18,97327,83873.8571428571
"449","All CA Counties",2021-10-19,93732,88885.1428571429
"450","All CA Counties",2021-10-20,90384,93587.2857142857
"451","All CA Counties",2021-10-21,94219,95949.5714285714
"452","All CA Counties",2021-10-22,158938,104846.142857143
"453","All CA Counties",2021-10-23,90767,116570.857142857
"454","All CA Counties",2021-10-24,46280,129098.857142857
"455","All CA Counties",2021-10-25,159603,141074.571428571
"456","All CA Counties",2021-10-26,175805,148888.714285714
"457","All CA Counties",2021-10-27,178080,150303.857142857
"458","All CA Counties",2021-10-28,178049,150724.428571429
"459","All CA Counties",2021-10-29,213637,152526.285714286
"460","All CA Counties",2021-10-30,100673,153514
"461","All CA Counties",2021-10-31,49224,154062.428571429
"462","All CA Counties",2021-11-01,172216,155654.428571429
"463","All CA Counties",2021-11-02,182719,158421
"464","All CA Counties",2021-11-03,181919,161362.285714286
"465","All CA Counties",2021-11-04,189193,163432.142857143
"466","All CA Counties",2021-11-05,233003,166165.714285714
"467","All CA Counties",2021-11-06,121262,169705.714285714
"468","All CA Counties",2021-11-07,63713,174261.714285714
"469","All CA Counties",2021-11-08,191351,176632.571428571
"470","All CA Counties",2021-11-09,207499,178320.714285714
"471","All CA Counties",2021-11-10,213811,181025.571428571
"472","All CA Counties",2021-11-11,205789,181476.142857143
"473","All CA Counties",2021-11-12,244820,182060.571428571
"474","All CA Counties",2021-11-13,140196,183061.428571429
"475","All CA Counties",2021-11-14,66867,183400.285714286
"476","All CA Counties",2021-11-15,195442,183823.714285714
"477","All CA Counties",2021-11-16,214505,183773.714285714
"478","All CA Counties",2021-11-17,216183,184180.714285714
"479","All CA Counties",2021-11-18,208753,184160.285714286
"480","All CA Counties",2021-11-19,244470,171822.285714286
"481","All CA Counties",2021-11-20,143045,NA
"482","All CA Counties",2021-11-21,66724,NA
"483","All CA Counties",2021-11-22,109076,NA
"484","Alameda",2020-07-27,0,NA
"485","Alameda",2020-07-28,0,NA
"486","Alameda",2020-07-29,0,NA
"487","Alameda",2020-07-30,0,0
"488","Alameda",2020-07-31,0,0
"489","Alameda",2020-08-01,0,0
"490","Alameda",2020-08-02,0,0
"491","Alameda",2020-08-03,0,0
"492","Alameda",2020-08-04,0,0
"493","Alameda",2020-08-05,0,0
"494","Alameda",2020-08-06,0,0
"495","Alameda",2020-08-07,0,0
"496","Alameda",2020-08-08,0,0
"497","Alameda",2020-08-09,0,0
"498","Alameda",2020-08-11,0,0
"499","Alameda",2020-08-16,0,0
"500","Alameda",2020-08-22,0,0
"501","Alameda",2020-08-23,0,0
"502","Alameda",2020-08-24,0,0
"503","Alameda",2020-08-29,0,0
"504","Alameda",2020-08-30,0,0
"505","Alameda",2020-09-05,0,0
"506","Alameda",2020-09-07,0,0
"507","Alameda",2020-09-12,0,0
"508","Alameda",2020-09-13,0,0
"509","Alameda",2020-09-14,0,0
"510","Alameda",2020-09-19,0,0
"511","Alameda",2020-09-20,0,0
"512","Alameda",2020-09-22,0,0
"513","Alameda",2020-09-26,0,0
"514","Alameda",2020-09-27,0,0
"515","Alameda",2020-09-29,0,0
"516","Alameda",2020-10-02,0,0
"517","Alameda",2020-10-03,0,0
"518","Alameda",2020-10-04,0,0
"519","Alameda",2020-10-06,0,0
"520","Alameda",2020-10-07,0,0
"521","Alameda",2020-10-08,0,0
"522","Alameda",2020-10-09,0,0
"523","Alameda",2020-10-11,0,0
"524","Alameda",2020-10-12,0,0
"525","Alameda",2020-10-13,0,0
"526","Alameda",2020-10-14,0,0
"527","Alameda",2020-10-15,0,0
"528","Alameda",2020-10-16,0,0
"529","Alameda",2020-10-17,0,0
"530","Alameda",2020-10-18,0,0
"531","Alameda",2020-10-19,0,0
"532","Alameda",2020-10-21,0,0
"533","Alameda",2020-10-22,0,0
"534","Alameda",2020-10-23,0,0
"535","Alameda",2020-10-24,0,0
"536","Alameda",2020-10-25,0,0
"537","Alameda",2020-10-26,0,0
"538","Alameda",2020-10-27,0,0
"539","Alameda",2020-10-28,0,0
"540","Alameda",2020-10-29,0,0
"541","Alameda",2020-10-30,0,0
