county,Total-Population,Total-Population-Over-16
Alameda,1678317,1351302
Alpine,1097,951
Amador,37968,32753
Butte,226900,184178
Calaveras,44079,38129
Colusa,22719,17150
Contra Costa,1159500,944600
Del Norte,26819,21574
El Dorado,189093,160729
Fresno,1021633,779131
Glenn,29148,22878
Humboldt,134208,109435
Imperial,191630,144856
Inyo,18102,14790
Kern,920648,696163
Kings,155094,117541
Lake,64188,52209
Lassen,29958,25935
Los Angeles,10198385,8161636
Madera,161131,124180
Marin,258173,218162
Mariposa,17515,14640
Mendocino,88309,71160
Merced,285802,217524
Modoc,9335,7788
Mono,13781,11175
Monterey,445173,340032
Napa,139366,115805
Nevada,98013,84209
Orange,3209266,2574902
Placer,396397,329289
Plumas,19109,16752
Riverside,2477951,1962824
Sacramento,1558521,1230951
San Benito,61752,49568
San Bernardino,2200319,1700963
San Diego,3343812,2626702
San Francisco,892440,755607
San Joaquin,775349,603559
San Luis Obispo,278577,236773
San Mateo,774980,626093
Santa Barbara,453483,361339
Santa Clara,1974825,1573352
Santa Cruz,275049,227087
Shasta,176438,143285
Sierra,2987,2613
Siskiyou,43290,36370
Solano,445333,357406
Sonoma,500886,418351
Stanislaus,561942,436074
Sutter,99187,78262
Tehama,63909,51183
Trinity,13123,11323
Tulare,481643,360490
Tuolumne,51687,44604
Ventura,850029,681065
Yolo,225881,185716
Yuba,78107,59494
